Date,"('SPY', 'AdjClose')","('SPY', 'Close')","('SPY', 'High')","('SPY', 'Low')","('SPY', 'Open')","('SPY', 'Volume')",AdjClose,Close,High,Low,Open,SPY,SPY.1,SPY.2,SPY.3,SPY.4,SPY.5,Volume,"('SPY', 'Open').1","('SPY', 'High').1","('SPY', 'Low').1","('SPY', 'Close').1","('SPY', 'AdjClose').1","('SPY', 'Volume').1","('SPY', 'Open').2","('SPY', 'High').2","('SPY', 'Low').2","('SPY', 'Close').2","('SPY', 'AdjClose').2","('SPY', 'Volume').2","('SPY', 'Open')","('SPY', 'High')","('SPY', 'Low')","('SPY', 'Close')","('SPY', 'AdjClose')","('SPY', 'Volume')"
2024-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.1600036621094,473.6700134277344,470.489990234375,472.6499938964844,461.2474670410156,123623700.0
2024-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.42999267578125,471.19000244140625,468.1700134277344,468.7900085449219,457.4805908203125,103585900.0
2024-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.29998779296875,470.9599914550781,467.04998779296875,467.2799987792969,456.00701904296875,84232200.0
2024-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.489990234375,470.44000244140625,466.42999267578125,467.9200134277344,456.6315612792969,86118900.0
2024-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.42999267578125,474.75,468.29998779296875,474.6000061035156,463.15045166015625,74879100.0
2024-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.8699951171875,474.92999267578125,471.3500061035156,473.8800048828125,462.44781494140625,65931400.0
2024-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.1600036621094,477.45001220703125,473.8699951171875,476.55999755859375,465.0631408691406,67310600.0
2024-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.5899963378906,478.1199951171875,472.260009765625,476.3500061035156,464.85821533203125,77940700.0
2024-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.8399963378906,478.6000061035156,475.2300109863281,476.67999267578125,465.1802062988281,58026400.0
2024-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.260009765625,476.6099853515625,473.05999755859375,474.92999267578125,463.472412109375,85014900.0
2024-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.82000732421875,472.7900085449219,469.8699951171875,472.2900085449219,460.8961486816406,68843900.0
2024-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.010009765625,477.05999755859375,472.4200134277344,476.489990234375,464.99481201171875,91856200.0
2024-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.6499938964844,482.7200012207031,476.5400085449219,482.42999267578125,470.79150390625,110834500.0
2024-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.010009765625,485.2200012207031,482.7799987792969,483.45001220703125,471.78692626953125,75844900.0
2024-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.010009765625,485.1099853515625,482.8900146484375,484.8599853515625,473.16290283203125,49945300.0
